Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award,pdf_local
VAST,2018,TPFlow: Progressive Partition and Multidimensional Pattern Extraction for Large-Scale Spatio-Temporal Data Analysis,10.1109/TVCG.2018.2865018,http://dx.doi.org/10.1109/TVCG.2018.2865018,1,11,J,"Consider a multi-dimensional spatio-temporal (ST) dataset where each entry is a numerical measure defined by the corresponding temporal, spatial and other domain-specific dimensions. A typical approach to explore such data utilizes interactive visualizations with multiple coordinated views. Each view displays the aggregated measures along one or two dimensions. By brushing on the views, analysts can obtain detailed information. However, this approach often cannot provide sufficient guidance for analysts to identify patterns hidden within subsets of data. Without a priori hypotheses, analysts need to manually select and iterate through different slices to search for patterns, which can be a tedious and lengthy process. In this work, we model multidimensional ST data as tensors and propose a novel piecewise rank-one tensor decomposition algorithm which supports automatically slicing the data into homogeneous partitions and extracting the latent patterns in each partition for comparison and visual summarization. The algorithm optimizes a quantitative measure about how faithfully the extracted patterns visually represent the original data. Based on the algorithm we further propose a visual analytics framework that supports a top-down, progressive partitioning workflow for level-of-detail multidimensional ST data exploration. We demonstrate the general applicability and effectiveness of our technique on three datasets from different application domains: regional sales trend analysis, customer traffic analysis in department stores, and taxi trip analysis with origin-destination (OD) data. We further interview domain experts to verify the usability of the prototype.",Dongyu Liu;Panpan Xu;Liu Ren,Dongyu Liu;Panpan Xu;Liu Ren,"Hong Kong University of Science and Technology;Bosch Research North America, Sunnyvale, CA;Bosch Research North America, Sunnyvale, CA",10.1109/TVCG.2016.2598862;10.1109/TVCG.2017.2744419;10.1109/TVCG.2006.161;10.1109/TVCG.2014.2346449;10.1109/TVCG.2013.226;10.1109/TVCG.2013.179;10.1109/TVCG.2016.2598432;10.1109/TVCG.2016.2598831;10.1109/TVCG.2016.2598624;10.1109/TVCG.2017.2744805;10.1109/TVCG.2015.2467112;10.1109/TVCG.2014.2346574;10.1109/INFVIS.2003.1249018;10.1109/INFVIS.1999.801851;10.1109/TVCG.2015.2468111;10.1109/TVCG.2018.2865126;10.1109/TVCG.2007.70515,"Spatio-temporal data,tensor decomposition,interactive exploration,automatic pattern discoveries",0.0,13.0,2.0,67.0,BP,papers/vast-tvcg/1_liu.pdf
InfoVis,2018,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,10.1109/TVCG.2018.2865240,http://dx.doi.org/10.1109/TVCG.2018.2865240,438,448,J,"There exists a gap between visualization design guidelines and their application in visualization tools. While empirical studies can provide design guidance, we lack a formal framework for representing design knowledge, integrating results across studies, and applying this knowledge in automated design tools that promote effective encodings and facilitate visual exploration. We propose modeling visualization design knowledge as a collection of constraints, in conjunction with a method to learn weights for soft constraints from experimental data. Using constraints, we can take theoretical design knowledge and express it in a concrete, extensible, and testable form: the resulting models can recommend visualization designs and can easily be augmented with additional constraints or updated weights. We implement our approach in Draco, a constraint-based system based on Answer Set Programming (ASP). We demonstrate how to construct increasingly sophisticated automated visualization design systems, including systems based on weights learned directly from the results of graphical perception experiments.",Dominik Moritz;Chenglong Wang;Greg L. Nelson;Halden Lin;Adam M. Smith;Bill Howe;Jeffrey Heer,Dominik Moritz;Chenglong Wang;Greg L. Nelson;Halden Lin;Adam M. Smith;Bill Howe;Jeffrey Heer,University of Washington;University of Washington;University of Washington;University of Washington;University of California Santa Cruz;University of Washington;University of Washington,10.1109/INFVIS.2005.1532136;10.1109/TVCG.2014.2346984;10.1109/TVCG.2013.183;10.1109/TVCG.2014.2346979;10.1109/TVCG.2007.70594;10.1109/TVCG.2017.2744320;10.1109/TVCG.2017.2744198;10.1109/TVCG.2017.2744198;10.1109/TVCG.2016.2599030;10.1109/TVCG.2017.2744359;10.1109/TVCG.2015.2467191,"Automated Visualization Design,Perceptual Effectiveness,Constraints,Knowledge Bases,Answer Set Programming",1.0,30.0,4.0,67.0,BP,papers/infovis-tvcg/438_moritz.pdf
SciVis,2018,Deadeye: A Novel Preattentive Visualization Technique Based on Dichoptic Presentation,10.1109/TVCG.2018.2864498,http://dx.doi.org/10.1109/TVCG.2018.2864498,936,945,J,"Preattentive visual features such as hue or flickering can effectively draw attention to an object of interest - for instance, an important feature in a scientific visualization. These features appear to pop out and can be recognized by our visual system, independently from the number of distractors. Most cues do not take advantage of the fact that most humans have two eyes. In cases where binocular vision is applied, it is almost exclusively used to convey depth by exposing stereo pairs. We present Deadeye, a novel preattentive visualization technique based on presenting different stimuli to each eye. The target object is rendered for one eye only and is instantly detected by our visual system. In contrast to existing cues, Deadeye does not modify any visual properties of the target and, thus, is particularly suited for visualization applications. Our evaluation confirms that Deadeye is indeed perceived preattentively. We also explore a conjunction search based on our technique and show that, in contrast to 3D depth, the task cannot be processed in parallel.",Andrey Krekhov;Jens H. Krüger,Andrey Krekhov;Jens Krüger,Center of Visual Data Analysis and Computer Graphics (COVIDAG)University of Duisburg-Essen;Center of Visual Data Analysis and Computer Graphics (COVIDAG)University of Duisburg-Essen,10.1109/TVCG.2011.234;10.1109/VISUAL.2005.1532838;10.1109/TVCG.2014.2346352,"Popout,preattentive vision,comparative visualization,dichoptic presentation",0.0,2.0,1.0,62.0,BP,papers/scivis-tvcg/936_krekhov.pdf
VAST,2018,Evaluating Multi-Dimensional Visualizations for Understanding Fuzzy Clusters,10.1109/TVCG.2018.2865020,http://dx.doi.org/10.1109/TVCG.2018.2865020,12,21,J,"Fuzzy clustering assigns a probability of membership for a datum to a cluster, which veritably reflects real-world clustering scenarios but significantly increases the complexity of understanding fuzzy clusters. Many studies have demonstrated that visualization techniques for multi-dimensional data are beneficial to understand fuzzy clusters. However, no empirical evidence exists on the effectiveness and efficiency of these visualization techniques in solving analytical tasks featured by fuzzy clusters. In this paper, we conduct a controlled experiment to evaluate the ability of fuzzy clusters analysis to use four multi-dimensional visualization techniques, namely, parallel coordinate plot, scatterplot matrix, principal component analysis, and Radviz. First, we define the analytical tasks and their representative questions specific to fuzzy clusters analysis. Then, we design objective questionnaires to compare the accuracy, time, and satisfaction in using the four techniques to solve the questions. We also design subjective questionnaires to collect the experience of the volunteers with the four techniques in terms of ease of use, informativeness, and helpfulness. With a complete experiment process and a detailed result analysis, we test against four hypotheses that are formulated on the basis of our experience, and provide instructive guidance for analysts in selecting appropriate and efficient visualization techniques to analyze fuzzy clusters.",Ying Zhao 0001;Feng Luo;Minghui Chen;Yingchao Wang;Jiazhi Xia;Fangfang Zhou;Yunhai Wang;Yi Chen 0007;Wei Chen 0001,Ying Zhao;Feng Luo;Minghui Chen;Yingchao Wang;Jiazhi Xia;Fangfang Zhou;Yunhai Wang;Yi Chen;Wei Chen,Central South University;Central South University;Central South University;Central South University;Central South University;Central South University;Shandong University;Beijing TechnologyBusiness University;State Key Lab of CAD & CGZhejiang University,10.1109/INFVIS.2005.1532136;10.1109/INFVIS.1998.729559;10.1109/TVCG.2017.2745138;10.1109/VAST.2010.5652450;10.1109/VISUAL.1997.663916;10.1109/TVCG.2009.153;10.1109/TVCG.2016.2598831;10.1109/INFVIS.2004.15;10.1109/TVCG.2017.2744198;10.1109/TVCG.2015.2467324;10.1109/TVCG.2013.153;10.1109/TVCG.2008.173;10.1109/VISUAL.1990.146375;10.1109/TVCG.2017.2744098;10.1109/TVCG.2016.2598479;10.1109/INFVIS.2003.1249015,"Evaluation,multi-dimensional visualization,fuzzy clustering,parallel coordinate plot,scatterplot matrix,principal component analysis,radviz",0.0,16.0,6.0,63.0,nan,papers/vast-tvcg/12_zhao.pdf
VAST,2018,The Effect of Proximity in Social Data Charts on Perceived Unity,10.1109/VAST.2018.8802449,http://dx.doi.org/10.1109/VAST.2018.8802449,1,12,C,"Social data charts - visual presentations of quantitative data about peer behaviors - may offer new means to motivate individuals to participate in group goals. However, to do so these charts need to create a semantic response of `unity' among the chart viewers in order to overcome the problems of social loafing where people act selfishly and undervalue the group's goal. In this paper, we focus on two properties of social data charts that may affect a viewer's perceptions of unity: (1) The skewness in the data structure - the statistical distribution of the social data, and (2) the proximity in the visual structure of the chart - the spatial organization of the data points. We performed a controlled perceptual experiment to examine the effect of proximity and skewness on four different semantic facets of perceived group unity: similarity, entitativity, rapport, and centrality. We exposed 179 participants on Amazon Mechanical Turk to different group charts using a 2 x 2 factorial design, varying both proximity and skewness. Our two-way ANCOVA analyses reveal three important findings: (1) Across all conditions, proximity has a strong positive effect on perceived group unity and conveys a social meaning of group entitativity, as well as, member similarity and rapport; (2) Skewness and proximity interact in a non-linear way, suggesting that skewness creates a negative force that modifies the semantic responses to high proximity; and (3) The perceptual responses to proximity have different semantic facets that are either stable or sensitive to skewness. These findings contribute to perceptual as well as social InfoVis literature.",Marlen Promann;Sabine Brunswicker,Marlen Promann;Sabine Brunswicker,Purdue University;Purdue University,10.1109/TVCG.2017.2746018;10.1109/TVCG.2008.171;10.1109/TVCG.2014.2346419;10.1109/TVCG.2007.70541;10.1109/TVCG.2013.234;10.1109/TVCG.2010.174;10.1109/TVCG.2012.221;10.1109/TVCG.2017.2745240,"Social visualization,information visualization,Human-centered computing,Empirical studies in HCI,Displays and imagers,Social engineering (social sciences),Visualization theory, concepts and paradigms,Gestalt theory,controlled experiment,data density,data spread,perception,group identity,unity,priming",nan,0.0,27.0,0.0,nan,papers/vast-conference/promann.pdf
VAST,2018,Futzing and Moseying: Interviews with Professional Data Analysts on Exploration Practices,10.1109/TVCG.2018.2865040,http://dx.doi.org/10.1109/TVCG.2018.2865040,22,31,J,"We report the results of interviewing thirty professional data analysts working in a range of industrial, academic, and regulatory environments. This study focuses on participants' descriptions of exploratory activities and tool usage in these activities. Highlights of the findings include: distinctions between exploration as a precursor to more directed analysis versus truly open-ended exploration; confirmation that some analysts see “finding something interesting” as a valid goal of data exploration while others explicitly disavow this goal; conflicting views about the role of intelligent tools in data exploration; and pervasive use of visualization for exploration, but with only a subset using direct manipulation interfaces. These findings provide guidelines for future tool development, as well as a better understanding of the meaning of the term “data exploration” based on the words of practitioners “in the wild”.",Sara Alspaugh;Nava Zokaei;Andrea Liu;Cindy Jin;Marti A. Hearst,Sara Alspaugh;Nava Zokaei;Andrea Liu;Cindy Jin;Marti A. Hearst,"UC, Berkeley;UC, Berkeley;UC, Berkeley;UC, Berkeley;UC, Berkeley",10.1109/VAST.2008.4677365;10.1109/INFVIS.1997.636793;10.1109/TVCG.2012.219;10.1109/VAST.2011.6102438;10.1109/TVCG.2006.122;10.1109/TVCG.2015.2467191,"EDA,exploratory data analysis,interview study,visual analytics tools",nan,7.0,3.0,26.0,nan,papers/vast-tvcg/22_alspaugh.pdf
VAST,2018,The Effect of Semantic Interaction on Foraging in Text Analysis,10.1109/VAST.2018.8802424,http://dx.doi.org/10.1109/VAST.2018.8802424,13,24,C,"Completing text analysis tasks is a continuous sensemaking loop of foraging for information and incrementally synthesizing it into hypotheses. Past research has shown the advantages of using spatial workspaces as a means for synthesizing information through externalizing hypotheses and creating spatial schemas. However, spatializing the entirety of datasets becomes prohibitive as the number of documents available to the analysts grows, particularly when only a small subset are relevant to the task at hand. StarSPIRE is a visual analytics tool designed to explore collections of documents, leveraging users' semantic interactions to steer (1) a synthesis model that aids in document layout, and (2) a foraging model to automatically retrieve new relevant information. In contrast to traditional keyword search foraging (KSF), “semantic interaction foraging” (SIF) occurs as a result of the user's synthesis actions. To quantify the value of semantic interaction foraging, we use StarSPIRE to evaluate its utility for an intelligence analysis sensemaking task. Semantic interaction foraging accounted for 26% of useful documents found, and it also resulted in increased synthesis interactions and improved sensemaking task performance by users in comparison to only using keyword search.",John E. Wenskovitch;Lauren Bradel;Michelle Dowling;Leanna House;Chris North,John Wenskovitch;Lauren Bradel;Michelle Dowling;Leanna House;Chris North,Virginia Tech Computer Science;Department of Defense;Virginia Tech Computer Science;Virginia Tech Statistics;Virginia Tech Computer Science,10.1109/TVCG.2006.120;10.1109/VAST.2012.6400559;10.1109/TVCG.2013.205;10.1109/VAST.2008.4677362;10.1109/VAST.2014.7042492;10.1109/VAST.2012.6400486;10.1109/TVCG.2012.260;10.1109/VAST.2011.6102449;10.1109/INFVIS.2005.1532126;10.1109/INFVIS.1995.528686;10.1109/INFVIS.2004.37,"Human-centered computing,Visualization,Empirical studies in visualization,Human-centered computing,Visualization,Visual analytics",nan,1.0,29.0,0.0,nan,papers/vast-conference/wenskovitch.pdf
VAST,2018,An Information-Theoretic Approach to the Cost-benefit Analysis of Visualization in Virtual Environments,10.1109/TVCG.2018.2865025,http://dx.doi.org/10.1109/TVCG.2018.2865025,32,42,J,"Visualization and virtual environments (VEs) have been two interconnected parallel strands in visual computing for decades. Some VEs have been purposely developed for visualization applications, while many visualization applications are exemplary showcases in general-purpose VEs. Because of the development and operation costs of VEs, the majority of visualization applications in practice have yet to benefit from the capacity of VEs. In this paper, we examine this status quo from an information-theoretic perspective. Our objectives are to conduct cost-benefit analysis on typical VE systems (including augmented and mixed reality, theater-based systems, and large powerwalls), to explain why some visualization applications benefit more from VEs than others, and to sketch out pathways for the future development of visualization applications in VEs. We support our theoretical propositions and analysis using theories and discoveries in the literature of cognitive sciences and the practical evidence reported in the literatures of visualization and VEs.",Min Chen 0001;Kelly P. Gaither;Nigel W. John;Brian McCann,Min Chen;Kelly Gaither;Nigel W. John;Brian Mccann,"University of Oxford, UK;University of Texas, Austin, USA;University of Chester, UK;University of Texas, Austin, USA",10.1109/TVCG.2010.131;10.1109/TVCG.2008.142;10.1109/TVCG.2011.231;10.1109/TVCG.2014.2346325;10.1109/TVCG.2013.127;10.1109/TVCG.2016.2598829;10.1109/INFVIS.2004.59;10.1109/VISUAL.2005.1532781;10.1109/TVCG.2010.131;10.1109/TVCG.2006.184,"Theory of visualization,virtual environments,four levels of visualization,virtual reality,augmented reality,mixed reality,cost-benefit analysis,information theory,cognitive sciences,visualization applications,immersive analytics",0.0,2.0,1.0,119.0,nan,papers/vast-tvcg/32_chen.pdf
InfoVis,2018,Shape-preserving Star Coordinates,10.1109/TVCG.2018.2865118,http://dx.doi.org/10.1109/TVCG.2018.2865118,449,458,J,"Dimensionality reduction is commonly applied to multidimensional data to reduce the complexity of their analysis. In visual analysis systems, projections embed multidimensional data into 2D or 3D spaces for graphical representation. To facilitate a robust and accurate analysis, essential characteristics of the multidimensional data shall be preserved when projecting. Orthographic star coordinates is a state-of-the-art linear projection method that avoids distortion of multidimensional clusters by restricting interactive exploration to orthographic projections. However, existing numerical methods for computing orthographic star coordinates have a number of limitations when putting them into practice. We overcome these limitations by proposing the novel concept of shape-preserving star coordinates where shape preservation is assured using a superset of orthographic projections. Our scheme is explicit, exact, simple, fast, parameter-free, and stable. To maintain a valid shape-preserving star-coordinates configuration during user interaction with one of the star-coordinates axes, we derive an algorithm that only requires us to modify the configuration of one additional compensatory axis. Different design goals can be targeted by using different strategies for selecting the compensatory axis. We propose and discuss four strategies including a strategy that approximates orthographic star coordinates very well and a data-driven strategy. We further present shape-preserving morphing strategies between two shape-preserving configurations, which can be adapted for the generation of data tours. We apply our concept to multiple data analysis scenarios to document its applicability and validate its desired properties.",Vladimir Molchanov;Lars Linsen,Vladimir Molchanov;Lars Linsen,"Westfälische Wilhelms-Universität Münster, Germany;Westfälische Wilhelms-Universität Münster, Germany",10.1109/TVCG.2010.209;10.1109/TVCG.2013.182;10.1109/TVCG.2015.2467132;10.1109/TVCG.2015.2467324;10.1109/TVCG.2014.2346258,"Star coordinates,multidimensional data projection,multivariate data visualization",0.0,1.0,0.0,30.0,nan,papers/infovis-tvcg/449_molchanov.pdf
InfoVis,2018,SRVis: Towards Better Spatial Integration in Ranking Visualization,10.1109/TVCG.2018.2865126,http://dx.doi.org/10.1109/TVCG.2018.2865126,459,469,J,"Interactive ranking techniques have substantially promoted analysts' ability in making judicious and informed decisions effectively based on multiple criteria. However, the existing techniques cannot satisfactorily support the analysis tasks involved in ranking large-scale spatial alternatives, such as selecting optimal locations for chain stores, where the complex spatial contexts involved are essential to the decision-making process. Limitations observed in the prior attempts of integrating rankings with spatial contexts motivate us to develop a context-integrated visual ranking technique. Based on a set of generic design requirements we summarized by collaborating with domain experts, we propose SRVis, a novel spatial ranking visualization technique that supports efficient spatial multi-criteria decision-making processes by addressing three major challenges in the aforementioned context integration, namely, a) the presentation of spatial rankings and contexts, b) the scalability of rankings' visual representations, and c) the analysis of context-integrated spatial rankings. Specifically, we encode massive rankings and their cause with scalable matrix-based visualizations and stacked bar charts based on a novel two-phase optimization framework that minimizes the information loss, and the flexible spatial filtering and intuitive comparative analysis are adopted to enable the in-depth evaluation of the rankings and assist users in selecting the best spatial alternative. The effectiveness of the proposed technique has been evaluated and demonstrated with an empirical study of optimization methods, two case studies, and expert interviews.",Di Weng;Ran Chen;Zikun Deng;Feiran Wu;Jingmin Chen;Yingcai Wu,Di Weng;Ran Chen;Zikun Deng;Feiran Wu;Jingmin Chen;Yingcai Wu,"State Key Lab of CAD & CGZhejiang UniversityAlibaba-Zhejiang University JointInstitute of Frontier Technologies;State Key Lab of CAD & CGZhejiang UniversityAlibaba-Zhejiang University JointInstitute of Frontier Technologies;State Key Lab of CAD & CGZhejiang UniversityAlibaba-Zhejiang University JointInstitute of Frontier Technologies;Alibaba Group, Hangzhou, China;Alibaba Group, Hangzhou, China;State Key Lab of CAD & CGZhejiang UniversityAlibaba-Zhejiang University JointInstitute of Frontier Technologies",10.1109/TVCG.2016.2598416;10.1109/TVCG.2013.193;10.1109/TVCG.2011.185;10.1109/TVCG.2008.166;10.1109/TVCG.2014.2346594;10.1109/TVCG.2013.173;10.1109/TVCG.2015.2467771;10.1109/TVCG.2008.181;10.1109/TVCG.2016.2598432;10.1109/TVCG.2018.2865018;10.1109/VAST.2011.6102455;10.1109/TVCG.2016.2598831;10.1109/TVCG.2016.2598585;10.1109/TVCG.2009.111;10.1109/TVCG.2015.2467112;10.1109/TVCG.2012.253;10.1109/TVCG.2015.2467717;10.1109/TVCG.2017.2745078;10.1109/TVCG.2014.2346913,"Spatial ranking,visualization",0.0,2.0,4.0,60.0,nan,papers/infovis-tvcg/459_weng.pdf
