title,link,authors
Health Visualizations at Home: Who Sees What Where,posters/adrielaseniero.pdf,"Bon Adriel Aseniero, Anthony Tang, Sheelagh Carpendale"
A Multi-View Image-Based Volume Visualization Technique,posters/alakkari.pdf,"Salaheddin Alakkari, John Dingliana"
Situated Visualizations of Office Noise to Promote Personal Health,posters/alipour.pdf,"Mina Alipour, Pierre Dragicevic, Tobias Isenberg, Petra Isenberg"
Study of Multiple View Layout Strategies in Visualization,posters/almaneea.pdf,"Hayder M. Al-maneea, Jonathan C. Roberts"
Effects of Declinism and Distinction Biases on Data Visualization,posters/alpboz.pdf,"Hasan Alp Boz, Rafiye Kececi, Yasemin Yasaroglu, Selim Balcisoy"
An Interactive Tool for Feature Analysis of Outliers in Multi-Dimensional Data,posters/asai.pdf,"Kentaro Asai, Tsukasa Fukusato, Takeo Igarashi"
"Multi-Dimensional Projections Explorer: Searching through Techniques, Quality Measures, Analytic Tasks, and Layout Enrichments",posters/aupetit.pdf,"Michaël Aupetit, Mosammat Samiha Sadeka, Ali Sajjad, Luis Gustavo Nonato"
Zooming on Tokens: Seamless Display Modes for Annotation Analysis,posters/baumann.pdf,"Martin Baumann, Steffen Koch, Harutyun Minasyan, Thomas Ertl"
Refolding the Earth: Interactive Myriahedral Projection and Fabrication,posters/belmonte.pdf,"Nicolas Belmonte, Yang Wang"
Integrated Visualization of Structure and Attribute Similarity of Multivariate Graphs,posters/berger.pdf,"Philip Berger, Mohammad Chegini, Heidrun Schumann, Christian Tominski"
Mure.js: Toward Flexible Authoring and Reshaping of Networks,posters/bigelow.pdf,"Alex Bigelow, Carolina Nobre, Alexander Lex, Miriah Meyer"
Scaling Up Parallel Coordinate Plot with Color-coded Stacked Histograms,posters/bok.pdf,"Jinwook Bok, Bohyoung Kim, Jinwook Seo"
Dual View: Multivariate Visualization Using Linked Layouts of Objects and Dimensions,posters/borland.pdf,"David Borland, David Gotz"
Towards a Framework for Immersive Analytics on the Web,posters/butcher.pdf,"Peter W. S. Butcher, Nigel W. John, Panagiotis D. Ritsos"
