UID,title,authors,abstract,keywords,session,pdf_local,ieee_link
posters_adrielaseniero_pdf,Health Visualizations at Home: Who Sees What Where,Bon Adriel Aseniero| Anthony Tang| Sheelagh Carpendale,lorem ipsum,posters,posters,posters/adrielaseniero.pdf,
posters_alakkari_pdf,A Multi-View Image-Based Volume Visualization Technique,Salaheddin Alakkari| John Dingliana,lorem ipsum,posters,posters,posters/alakkari.pdf,
posters_alipour_pdf,Situated Visualizations of Office Noise to Promote Personal Health,Mina Alipour| Pierre Dragicevic| Tobias Isenberg| Petra Isenberg,lorem ipsum,posters,posters,posters/alipour.pdf,
posters_almaneea_pdf,Study of Multiple View Layout Strategies in Visualization,Hayder M. Al-maneea| Jonathan C. Roberts,lorem ipsum,posters,posters,posters/almaneea.pdf,
posters_alpboz_pdf,Effects of Declinism and Distinction Biases on Data Visualization,Hasan Alp Boz| Rafiye Kececi| Yasemin Yasaroglu| Selim Balcisoy,lorem ipsum,posters,posters,posters/alpboz.pdf,
posters_asai_pdf,An Interactive Tool for Feature Analysis of Outliers in Multi-Dimensional Data,Kentaro Asai| Tsukasa Fukusato| Takeo Igarashi,lorem ipsum,posters,posters,posters/asai.pdf,
posters_aupetit_pdf,"Multi-Dimensional Projections Explorer: Searching through Techniques, Quality Measures, Analytic Tasks, and Layout Enrichments",Michaël Aupetit| Mosammat Samiha Sadeka| Ali Sajjad| Luis Gustavo Nonato,lorem ipsum,posters,posters,posters/aupetit.pdf,
posters_baumann_pdf,Zooming on Tokens: Seamless Display Modes for Annotation Analysis,Martin Baumann| Steffen Koch| Harutyun Minasyan| Thomas Ertl,lorem ipsum,posters,posters,posters/baumann.pdf,
posters_belmonte_pdf,Refolding the Earth: Interactive Myriahedral Projection and Fabrication,Nicolas Belmonte| Yang Wang,lorem ipsum,posters,posters,posters/belmonte.pdf,
posters_berger_pdf,Integrated Visualization of Structure and Attribute Similarity of Multivariate Graphs,Philip Berger| Mohammad Chegini| Heidrun Schumann| Christian Tominski,lorem ipsum,posters,posters,posters/berger.pdf,
posters_bigelow_pdf,Mure.js: Toward Flexible Authoring and Reshaping of Networks,Alex Bigelow| Carolina Nobre| Alexander Lex| Miriah Meyer,lorem ipsum,posters,posters,posters/bigelow.pdf,
posters_bok_pdf,Scaling Up Parallel Coordinate Plot with Color-coded Stacked Histograms,Jinwook Bok| Bohyoung Kim| Jinwook Seo,lorem ipsum,posters,posters,posters/bok.pdf,
posters_borland_pdf,Dual View: Multivariate Visualization Using Linked Layouts of Objects and Dimensions,David Borland| David Gotz,lorem ipsum,posters,posters,posters/borland.pdf,
posters_butcher_pdf,Towards a Framework for Immersive Analytics on the Web,Peter W. S. Butcher| Nigel W. John| Panagiotis D. Ritsos,lorem ipsum,posters,posters,posters/butcher.pdf,
posters_chatzimparmpas_pdf,t-viSNE: A Visual Inspector for the Exploration of t-SNE,Angelos Chatzimparmpas| Rafael M. Martins| Andreas Kerren,lorem ipsum,posters,posters,posters/chatzimparmpas.pdf,
